Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.38,13.7,13.38,13.67,11.807139999999999,4597600
2010-01-05,13.67,13.84,13.5,13.53,11.686217,5093200
2010-01-06,13.45,13.74,13.38,13.39,11.565298,7507300
2010-01-07,13.37,13.58,13.15,13.4,11.573935,16843500
2010-01-08,13.39,13.82,13.35,13.78,11.90215,5647500
2010-01-11,13.77,14.01,13.76,13.87,11.979886,8616600
2010-01-12,13.8,13.87,13.67,13.71,11.84169,5703200
2010-01-13,13.74,14.14,13.71,14.08,12.161267,5488500
2010-01-14,14.02,14.24,14.0,14.09,12.169907,4320900
2010-01-15,14.02,14.22,13.8,14.04,12.126719,5588400
2010-01-19,14.03,14.22,13.87,14.13,12.204456,4699300
2010-01-20,14.0,14.0,13.56,13.71,11.84169,6220700
2010-01-21,13.73,13.9,13.28,13.37,11.548021,6068000
2010-01-22,13.39,13.47,13.0,13.02,11.245718,6531300
2010-01-25,13.19,13.48,13.09,13.41,11.582572,6202100
2010-01-26,13.31,13.31,13.03,13.07,11.288905,4829400
2010-01-27,13.07,13.08,12.5,12.88,11.124796,11971700
2010-01-28,12.89,12.99,12.47,12.68,10.95205,8794600
2010-01-29,12.79,12.83,12.54,12.63,10.908866,13698800
2010-02-01,12.66,12.91,12.48,12.89,11.133433,5797700
2010-02-02,12.88,13.15,12.76,13.12,11.332089,4175300
2010-02-03,12.99,13.18,12.85,12.9,11.142069000000001,3366700
2010-02-04,12.77,12.83,11.82,11.84,10.226521,16486600
2010-02-05,11.82,11.95,11.46,11.73,10.131511,9749800
2010-02-08,11.8,11.99,11.66,11.75,10.148786,5248400
2010-02-09,11.94,12.33,11.9,12.13,10.477002,9419700
2010-02-10,12.15,12.15,11.8,11.94,10.312896,8151700
2010-02-11,11.9,11.98,11.74,11.95,10.321531,8128500
2010-02-12,11.79,11.8,11.62,11.77,10.166058999999999,10828700
2010-02-16,11.91,11.94,11.69,11.85,10.235159,18712000
2010-02-17,11.93,12.04,11.78,12.03,10.390628,11136400
2010-02-18,11.98,12.12,11.94,12.03,10.390628,7280800
2010-02-19,11.95,12.18,11.85,12.18,10.520188000000001,6705500
