Date,Open,High,Low,Close,Adj Close,Volume
2010-01-12,0.077,0.077,0.077,0.077,0.077,0
2010-01-13,0.076,0.076,0.076,0.076,0.076,0
2010-01-14,0.077,0.098,0.077,0.098,0.098,4299
2010-01-15,0.071,0.071,0.071,0.071,0.071,0
2010-01-19,0.071,0.098,0.071,0.078,0.078,1
2010-01-20,0.068,0.068,0.068,0.068,0.068,0
2010-01-21,0.068,0.068,0.068,0.068,0.068,0
2010-01-22,0.061,0.061,0.061,0.061,0.061,0
2010-01-25,0.061,0.061,0.061,0.061,0.061,0
2010-01-26,0.063,0.063,0.063,0.063,0.063,0
2010-01-27,0.053,0.053,0.053,0.053,0.053,0
2010-01-28,0.054,0.054,0.054,0.054,0.054,0
2010-01-29,0.054,0.054,0.054,0.054,0.054,0
2010-02-01,0.054,0.054,0.054,0.054,0.054,0
2010-02-02,0.054,0.054,0.054,0.054,0.054,0
2010-02-03,0.054,0.054,0.054,0.054,0.054,0
2010-02-04,0.068,0.068,0.068,0.068,0.068,0
2010-02-05,0.061,0.061,0.061,0.061,0.061,0
2010-02-08,0.062,0.062,0.062,0.062,0.062,0
2010-02-09,0.048,0.048,0.048,0.048,0.048,0
2010-02-10,0.058,0.058,0.058,0.058,0.058,0
2010-02-11,0.059,0.059,0.059,0.059,0.059,0
2010-02-12,0.063,0.063,0.063,0.063,0.063,0
2010-02-16,0.067,0.067,0.067,0.067,0.067,0
2010-02-17,0.06,0.06,0.06,0.06,0.06,0
2010-02-18,0.06,0.06,0.06,0.06,0.06,0
2010-02-19,0.067,0.067,0.067,0.067,0.067,0
2010-02-22,0.061,0.061,0.061,0.061,0.061,0
2010-02-23,0.061,0.061,0.061,0.061,0.061,0
2010-02-24,0.067,0.067,0.067,0.067,0.067,0
2010-02-25,0.067,0.067,0.067,0.067,0.067,0
2010-02-26,0.067,0.067,0.067,0.067,0.067,0
2010-03-01,0.06,0.06,0.06,0.06,0.06,0
2010-03-02,0.072,0.072,0.072,0.072,0.072,0
2010-03-03,0.068,0.068,0.068,0.068,0.068,0
2010-03-04,0.057,0.057,0.057,0.057,0.057,0
2010-03-05,0.076,0.076,0.076,0.076,0.076,0
2010-03-08,0.061,0.061,0.061,0.061,0.061,0
2010-03-09,0.06,0.06,0.06,0.06,0.06,0
2010-03-10,0.06,0.06,0.06,0.06,0.06,0
2010-03-11,0.06,0.06,0.06,0.06,0.06,0
2010-03-12,0.06,0.06,0.06,0.06,0.06,0
2010-03-15,0.061,0.061,0.061,0.061,0.061,0
2010-03-16,0.062,0.062,0.062,0.062,0.062,0
2010-03-17,0.062,0.062,0.062,0.062,0.062,0
2010-03-18,0.077,0.077,0.077,0.077,0.077,0
2010-03-19,0.077,0.077,0.077,0.077,0.077,0
2010-03-22,0.066,0.066,0.066,0.066,0.066,0
2010-03-23,0.066,0.066,0.066,0.066,0.066,0
2010-03-24,0.07,0.07,0.07,0.07,0.07,0
2010-03-25,0.071,0.071,0.071,0.071,0.071,0
2010-03-26,0.067,0.067,0.067,0.067,0.067,0
2010-03-29,0.063,0.063,0.063,0.063,0.063,0
2010-03-30,0.063,0.063,0.063,0.063,0.063,0
2010-03-31,0.078,0.078,0.078,0.078,0.078,0
2010-04-01,0.067,0.067,0.067,0.067,0.067,0
2010-04-06,0.064,0.064,0.064,0.064,0.064,0
2010-04-07,0.079,0.079,0.079,0.079,0.079,0
2010-04-08,0.076,0.076,0.076,0.076,0.076,0
2010-04-09,0.08,0.08,0.08,0.08,0.08,0
2010-04-12,0.078,0.078,0.078,0.078,0.078,0
2010-04-13,0.07,0.07,0.07,0.07,0.07,0
2010-04-14,0.071,0.071,0.071,0.071,0.071,0
2010-04-15,0.078,0.078,0.078,0.078,0.078,0
2010-04-16,0.082,0.082,0.082,0.082,0.082,0
2010-04-19,0.081,0.081,0.081,0.081,0.081,0
2010-04-20,0.082,0.082,0.082,0.082,0.082,0
2010-04-21,0.084,0.084,0.084,0.084,0.084,0
2010-04-22,0.068,0.068,0.068,0.068,0.068,0
2010-04-23,0.069,0.069,0.069,0.069,0.069,0
2010-04-26,0.069,0.069,0.069,0.069,0.069,0
2010-04-27,0.068,0.068,0.068,0.068,0.068,0
2010-04-28,0.068,0.068,0.068,0.068,0.068,0
2010-04-29,0.069,0.069,0.069,0.069,0.069,0
2010-04-30,0.065,0.065,0.065,0.065,0.065,0
2010-05-03,0.068,0.068,0.068,0.068,0.068,0
2010-05-04,0.069,0.069,0.069,0.069,0.069,0
2010-05-05,0.065,0.065,0.065,0.065,0.065,0
2010-05-06,0.065,0.065,0.065,0.065,0.065,0
2010-05-07,0.065,0.065,0.065,0.065,0.065,0
2010-05-10,0.067,0.067,0.067,0.067,0.067,0
2010-05-11,0.066,0.066,0.066,0.066,0.066,0
2010-05-12,0.063,0.063,0.063,0.063,0.063,0
2010-05-13,0.064,0.064,0.064,0.064,0.064,0
2010-05-14,0.064,0.064,0.064,0.064,0.064,0
2010-05-17,0.06,0.06,0.06,0.06,0.06,0
2010-05-18,0.065,0.065,0.065,0.065,0.065,0
2010-05-19,0.065,0.065,0.065,0.065,0.065,0
2010-05-20,0.07,0.07,0.07,0.07,0.07,0
2010-05-21,0.06,0.06,0.06,0.06,0.06,0
2010-05-24,0.062,0.062,0.062,0.062,0.062,0
2010-05-25,0.06,0.06,0.06,0.06,0.06,0
2010-05-26,0.06,0.06,0.06,0.06,0.06,0
2010-05-27,0.061,0.061,0.061,0.061,0.061,0
2010-05-28,0.06,0.06,0.06,0.06,0.06,0
2010-06-01,0.06,0.06,0.06,0.06,0.06,0
2010-06-02,0.06,0.06,0.06,0.06,0.06,0
2010-06-03,0.057,0.057,0.057,0.057,0.057,0
2010-06-04,0.059,0.059,0.059,0.059,0.059,0
